#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2023-04-30 20:34:19.069
#Sample rate: 1.17647e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Period: 2 ms
#Amplitude: 100 mV
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002389450621627961,2.389949461807848,2.372993558439928
-0.002388600621627962,2.390621018574575,2.373659346056881
-0.002387750621627961,2.390621018574575,2.373659346056881
-0.002386900621627961,2.390621018574575,2.373659346056881
-0.002386050621627962,2.389949461807848,2.373659346056881
-0.002385200621627961,2.389949461807848,2.373659346056881
-0.002384350621627961,2.389949461807848,2.373659346056881
-0.002383500621627962,2.389277905041121,2.373659346056881
-0.002382650621627961,2.389613683424484,2.373326452248405
-0.002381800621627961,2.389277905041121,2.373659346056881
-0.002380950621627962,2.389277905041121,2.373659346056881
-0.002380100621627961,2.389613683424484,2.373659346056881
-0.002379250621627962,2.389949461807848,2.373326452248405
-0.002378400621627961,2.389949461807848,2.373992239865358
-0.002377550621627961,2.389613683424484,2.373659346056881
-0.002376700621627962,2.389277905041121,2.373326452248405
-0.002375850621627961,2.389277905041121,2.373659346056881
-0.002375000621627961,2.389277905041121,2.373326452248405
-0.002374150621627962,2.389277905041121,2.373326452248405
-0.002373300621627961,2.389949461807848,2.373326452248405
-0.002372450621627961,2.389949461807848,2.373326452248405
-0.002371600621627962,2.389277905041121,2.373326452248405
-0.002370750621627961,2.389949461807848,2.373326452248405
-0.002369900621627961,2.389613683424484,2.373326452248405
-0.002369050621627961,2.389277905041121,2.373326452248405
-0.002368200621627961,2.389277905041121,2.373326452248405
-0.002367350621627962,2.389277905041121,2.372993558439928
-0.002366500621627961,2.389949461807848,2.373326452248405
-0.002365650621627961,2.390285240191211,2.373326452248405
-0.002364800621627962,2.389949461807848,2.372993558439928
-0.002363950621627961,2.389277905041121,2.372993558439928
-0.002363100621627961,2.388942126657758,2.373326452248405
-0.002362250621627962,2.389277905041121,2.373326452248405
-0.002361400621627961,2.389613683424484,2.373326452248405
-0.002360550621627961,2.389277905041121,2.373659346056881
-0.002359700621627962,2.388942126657758,2.373659346056881
-0.002358850621627961,2.389277905041121,2.373659346056881
-0.002358000621627962,2.388942126657758,2.372993558439929
-0.002357150621627961,2.388942126657758,2.372993558439928
-0.002356300621627961,2.389613683424484,2.373326452248405
-0.002355450621627962,2.389613683424484,2.372993558439928
-0.002354600621627961,2.389613683424484,2.372993558439928
-0.002353750621627961,2.389949461807848,2.372993558439928
-0.002352900621627962,2.389613683424484,2.373659346056881
-0.002352050621627961,2.389277905041121,2.373659346056881
-0.002351200621627961,2.389277905041121,2.373326452248405
-0.002350350621627962,2.388942126657758,2.373326452248405
-0.002349500621627961,2.389613683424484,2.373326452248405
-0.002348650621627962,2.389949461807848,2.373326452248405
-0.002347800621627961,2.389949461807848,2.373659346056881
-0.002346950621627961,2.390285240191211,2.373326452248405
-0.002346100621627962,2.390285240191211,2.373326452248405
-0.002345250621627961,2.389613683424484,2.373326452248405
-0.002344400621627961,2.389949461807848,2.373326452248405
-0.002343550621627962,2.389613683424484,2.373326452248405
-0.002342700621627961,2.389613683424484,2.373326452248405
-0.002341850621627961,2.389277905041121,2.373326452248405
-0.002341000621627962,2.389949461807848,2.373326452248405
-0.002340150621627961,2.389949461807848,2.373326452248405
-0.002339300621627961,2.389613683424484,2.373326452248405
-0.002338450621627962,2.389949461807848,2.373659346056881
-0.002337600621627961,2.389613683424484,2.373659346056881
-0.002336750621627962,2.389613683424484,2.373659346056881
-0.002335900621627961,2.389949461807848,2.373659346056881
-0.002335050621627961,2.389613683424484,2.373659346056881
-0.002334200621627962,2.389949461807848,2.373992239865358
-0.002333350621627961,2.390285240191211,2.373326452248405
-0.002332500621627961,2.389277905041121,2.373326452248405
-0.002331650621627962,2.389613683424484,2.373326452248405
-0.002330800621627961,2.389613683424484,2.373659346056881
-0.002329950621627961,2.389277905041121,2.373992239865358
-0.002329100621627962,2.389949461807848,2.373659346056881
-0.002328250621627961,2.389613683424484,2.373659346056881
-0.002327400621627962,2.389613683424484,2.373659346056881
-0.002326550621627961,2.389949461807848,2.373992239865358
-0.002325700621627961,2.389613683424484,2.373659346056881
-0.002324850621627962,2.389949461807848,2.373326452248405
-0.002324000621627961,2.389949461807848,2.373326452248405
-0.002323150621627961,2.390621018574575,2.373659346056881
-0.002322300621627962,2.390621018574575,2.373992239865358
-0.002321450621627961,2.390956796957938,2.373992239865358
-0.002320600621627961,2.389949461807848,2.373992239865358
-0.002319750621627962,2.389949461807848,2.373992239865358
-0.002318900621627961,2.390285240191211,2.373659346056881
-0.002318050621627961,2.389949461807848,2.373326452248405
-0.002317200621627962,2.390285240191211,2.373326452248405
-0.002316350621627961,2.390285240191211,2.373659346056881
-0.002315500621627962,2.389613683424484,2.373659346056881
-0.002314650621627961,2.389613683424484,2.373992239865358
-0.002313800621627961,2.390285240191211,2.373992239865358
-0.002312950621627962,2.389949461807848,2.373992239865358
-0.002312100621627961,2.389613683424484,2.373992239865358
-0.002311250621627961,2.389613683424484,2.373992239865358
