#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18A25
#Date Time: 2023-04-30 20:31:55.077
#Sample rate: 1.20482e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 200 Hz
#Period: 5 ms
#Amplitude: 1 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.004452785749455719,3.48895211055619,3.460557630732645
-0.004451955749455718,3.489623667322917,3.459891843115692
-0.004451125749455719,3.489287888939554,3.460557630732644
-0.004450295749455719,3.489623667322917,3.460224736924168
-0.004449465749455719,3.489287888939554,3.460224736924168
-0.004448635749455719,3.488616332172827,3.460224736924168
-0.004447805749455719,3.488616332172827,3.460224736924168
-0.004446975749455719,3.48895211055619,3.459558949307215
-0.004446145749455719,3.488616332172827,3.460224736924168
-0.004445315749455719,3.48895211055619,3.460224736924168
-0.004444485749455719,3.489623667322917,3.460224736924168
-0.004443655749455719,3.489623667322917,3.459558949307216
-0.004442825749455719,3.489623667322917,3.459558949307215
-0.004441995749455719,3.48895211055619,3.460224736924168
-0.004441165749455718,3.48895211055619,3.460557630732644
-0.004440335749455719,3.48895211055619,3.459891843115692
-0.004439505749455719,3.488616332172827,3.460224736924168
-0.004438675749455718,3.48895211055619,3.460224736924168
-0.004437845749455719,3.48895211055619,3.460224736924168
-0.004437015749455719,3.488280553789464,3.459891843115692
-0.004436185749455718,3.488280553789464,3.459891843115692
-0.004435355749455719,3.488616332172827,3.459558949307215
-0.004434525749455719,3.488616332172827,3.459891843115692
-0.004433695749455718,3.488280553789464,3.459891843115692
-0.004432865749455719,3.488616332172827,3.460224736924168
-0.004432035749455719,3.489287888939554,3.460224736924168
-0.004431205749455719,3.489287888939554,3.459891843115692
-0.004430375749455719,3.488952110556191,3.460224736924168
-0.004429545749455719,3.489287888939554,3.460224736924168
-0.004428715749455719,3.489287888939554,3.459891843115692
-0.004427885749455719,3.489287888939554,3.460557630732644
-0.004427055749455719,3.488616332172827,3.460557630732645
-0.004426225749455719,3.4879447754061,3.460224736924168
-0.004425395749455718,3.487944775406101,3.459891843115692
-0.004424565749455719,3.48895211055619,3.460224736924168
-0.004423735749455719,3.489959445706281,3.459891843115692
-0.004422905749455718,3.489623667322917,3.459891843115692
-0.004422075749455719,3.489623667322917,3.460224736924168
-0.004421245749455719,3.489287888939554,3.460224736924168
-0.004420415749455718,3.48895211055619,3.459891843115692
-0.004419585749455719,3.488280553789464,3.460224736924168
-0.004418755749455719,3.489287888939554,3.459891843115692
-0.004417925749455718,3.489287888939554,3.459891843115692
-0.004417095749455719,3.489287888939554,3.459558949307215
-0.004416265749455719,3.489287888939554,3.459558949307215
-0.004415435749455719,3.48895211055619,3.460224736924168
-0.004414605749455719,3.488616332172827,3.460224736924168
-0.004413775749455719,3.48895211055619,3.460224736924168
-0.004412945749455719,3.488616332172827,3.460224736924168
-0.004412115749455719,3.489287888939554,3.459891843115692
-0.004411285749455719,3.489287888939554,3.459891843115692
-0.004410455749455719,3.48895211055619,3.459558949307215
-0.004409625749455719,3.489287888939554,3.459558949307215
-0.004408795749455719,3.489287888939554,3.460224736924168
-0.004407965749455719,3.48895211055619,3.460224736924168
-0.004407135749455718,3.489287888939554,3.459891843115692
-0.004406305749455719,3.48895211055619,3.460224736924168
-0.004405475749455719,3.48895211055619,3.459558949307215
-0.004404645749455718,3.48895211055619,3.459226055498739
-0.004403815749455719,3.48895211055619,3.459558949307215
-0.004402985749455719,3.488280553789464,3.459558949307215
-0.004402155749455718,3.488280553789464,3.459891843115692
-0.004401325749455719,3.48895211055619,3.459891843115692
-0.004400495749455719,3.489287888939554,3.460224736924168
-0.004399665749455718,3.489623667322917,3.459891843115692
-0.004398835749455719,3.488616332172827,3.45922605549874
-0.004398005749455719,3.488280553789464,3.459558949307215
-0.004397175749455719,3.488280553789464,3.459558949307215
-0.004396345749455719,3.488616332172827,3.459891843115691
-0.004395515749455719,3.48895211055619,3.460224736924168
-0.004394685749455719,3.48895211055619,3.460224736924168
-0.004393855749455719,3.488280553789464,3.459891843115692
-0.004393025749455719,3.488616332172827,3.459891843115692
-0.004392195749455719,3.488616332172827,3.459891843115692
-0.004391365749455718,3.488616332172827,3.459891843115692
-0.004390535749455719,3.489287888939554,3.460224736924168
-0.004389705749455719,3.488616332172827,3.459891843115692
-0.004388875749455718,3.488616332172827,3.459558949307215
-0.004388045749455719,3.488616332172827,3.459891843115692
-0.004387215749455719,3.48895211055619,3.459891843115692
-0.004386385749455718,3.489287888939554,3.459558949307215
-0.004385555749455719,3.489287888939554,3.459891843115692
-0.004384725749455719,3.48895211055619,3.459891843115692
-0.004383895749455718,3.48895211055619,3.459558949307215
-0.004383065749455719,3.489287888939554,3.459891843115692
-0.004382235749455719,3.48895211055619,3.460224736924168
-0.004381405749455719,3.489623667322917,3.460224736924168
-0.004380575749455719,3.489287888939554,3.460224736924168
-0.004379745749455719,3.489623667322917,3.460224736924168
-0.004378915749455719,3.489623667322917,3.459891843115692
-0.004378085749455719,3.489623667322917,3.460224736924168
-0.004377255749455719,3.489287888939554,3.460224736924168
-0.004376425749455719,3.488616332172827,3.460557630732645
