vout	Ix(U1:DRAIN)
0.000000000000000e+000	-1.013920e-004
1.000000000000000e-002	-1.013786e-004
2.000000000000000e-002	-1.013653e-004
3.000000000000000e-002	-1.013518e-004
4.000000000000000e-002	-1.013384e-004
5.000000000000000e-002	-1.013249e-004
6.000000000000001e-002	-1.013114e-004
7.000000000000001e-002	-1.012979e-004
8.000000000000000e-002	-1.012843e-004
9.000000000000000e-002	-1.012707e-004
9.999999999999999e-002	-1.012571e-004
1.100000000000000e-001	-1.012434e-004
1.200000000000000e-001	-1.012297e-004
1.300000000000000e-001	-1.012159e-004
1.400000000000000e-001	-1.012021e-004
1.500000000000000e-001	-1.011883e-004
1.600000000000000e-001	-1.011745e-004
1.700000000000000e-001	-1.011606e-004
1.800000000000000e-001	-1.011467e-004
1.900000000000000e-001	-1.011327e-004
2.000000000000000e-001	-1.011187e-004
2.100000000000001e-001	-1.011047e-004
2.200000000000001e-001	-1.010906e-004
2.300000000000001e-001	-1.010765e-004
2.400000000000001e-001	-1.010624e-004
2.500000000000001e-001	-1.010482e-004
2.600000000000001e-001	-1.010340e-004
2.700000000000001e-001	-1.010197e-004
2.800000000000001e-001	-1.010054e-004
2.900000000000001e-001	-1.009911e-004
3.000000000000001e-001	-1.009767e-004
3.100000000000001e-001	-1.009623e-004
3.200000000000001e-001	-1.009479e-004
3.300000000000001e-001	-1.009334e-004
3.400000000000001e-001	-1.009189e-004
3.500000000000001e-001	-1.009043e-004
3.600000000000002e-001	-1.008897e-004
3.700000000000002e-001	-1.008751e-004
3.800000000000002e-001	-1.008604e-004
3.900000000000002e-001	-1.008457e-004
4.000000000000002e-001	-1.008309e-004
4.100000000000002e-001	-1.008161e-004
4.200000000000002e-001	-1.008013e-004
4.300000000000002e-001	-1.007864e-004
4.400000000000002e-001	-1.007715e-004
4.500000000000002e-001	-1.007565e-004
4.600000000000002e-001	-1.007415e-004
4.700000000000003e-001	-1.007264e-004
4.800000000000003e-001	-1.007113e-004
4.900000000000003e-001	-1.006962e-004
5.000000000000002e-001	-1.006810e-004
5.100000000000002e-001	-1.006658e-004
5.200000000000002e-001	-1.006505e-004
5.300000000000003e-001	-1.006352e-004
5.400000000000003e-001	-1.006199e-004
5.500000000000003e-001	-1.006045e-004
5.600000000000003e-001	-1.005890e-004
5.700000000000003e-001	-1.005735e-004
5.800000000000003e-001	-1.005580e-004
5.900000000000003e-001	-1.005424e-004
6.000000000000003e-001	-1.005268e-004
6.100000000000003e-001	-1.005111e-004
6.200000000000003e-001	-1.004954e-004
6.300000000000003e-001	-1.004797e-004
6.400000000000004e-001	-1.004639e-004
6.500000000000004e-001	-1.004480e-004
6.600000000000004e-001	-1.004321e-004
6.700000000000004e-001	-1.004162e-004
6.800000000000004e-001	-1.004002e-004
6.900000000000004e-001	-1.003841e-004
7.000000000000004e-001	-1.003680e-004
7.100000000000004e-001	-1.003519e-004
7.200000000000004e-001	-1.003357e-004
7.300000000000004e-001	-1.003194e-004
7.400000000000004e-001	-1.003031e-004
7.500000000000004e-001	-1.002868e-004
7.600000000000005e-001	-1.002704e-004
7.700000000000005e-001	-1.002539e-004
7.800000000000005e-001	-1.002374e-004
7.900000000000005e-001	-1.002209e-004
8.000000000000005e-001	-1.002043e-004
8.100000000000005e-001	-1.001876e-004
8.200000000000005e-001	-1.001709e-004
8.300000000000005e-001	-1.001542e-004
8.400000000000005e-001	-1.001374e-004
8.500000000000005e-001	-1.001205e-004
8.600000000000005e-001	-1.001036e-004
8.700000000000006e-001	-1.000866e-004
8.800000000000006e-001	-1.000696e-004
8.900000000000006e-001	-1.000525e-004
9.000000000000006e-001	-1.000353e-004
9.100000000000006e-001	-1.000181e-004
9.200000000000006e-001	-1.000009e-004
9.300000000000006e-001	-9.998358e-005
9.400000000000006e-001	-9.996622e-005
9.500000000000006e-001	-9.994879e-005
9.600000000000006e-001	-9.993131e-005
9.700000000000006e-001	-9.991376e-005
9.800000000000007e-001	-9.989616e-005
9.900000000000007e-001	-9.987850e-005
1.000000000000001e+000	-9.986079e-005
1.010000000000001e+000	-9.984300e-005
1.020000000000001e+000	-9.982516e-005
1.030000000000001e+000	-9.980726e-005
1.040000000000001e+000	-9.978931e-005
1.050000000000001e+000	-9.977129e-005
1.060000000000001e+000	-9.975320e-005
1.070000000000001e+000	-9.973505e-005
1.080000000000001e+000	-9.971684e-005
1.090000000000001e+000	-9.969856e-005
1.100000000000001e+000	-9.968023e-005
1.110000000000001e+000	-9.966182e-005
1.120000000000001e+000	-9.964335e-005
1.130000000000001e+000	-9.962482e-005
1.140000000000001e+000	-9.960622e-005
1.150000000000001e+000	-9.958755e-005
1.160000000000001e+000	-9.956882e-005
1.170000000000001e+000	-9.955002e-005
1.180000000000001e+000	-9.953115e-005
1.190000000000001e+000	-9.951222e-005
1.200000000000001e+000	-9.949321e-005
1.210000000000001e+000	-9.947413e-005
1.220000000000001e+000	-9.945499e-005
1.230000000000001e+000	-9.943578e-005
1.240000000000001e+000	-9.941649e-005
1.250000000000001e+000	-9.939714e-005
1.260000000000001e+000	-9.937771e-005
1.270000000000001e+000	-9.935821e-005
1.280000000000001e+000	-9.933863e-005
1.290000000000001e+000	-9.931899e-005
1.300000000000001e+000	-9.929927e-005
1.310000000000001e+000	-9.927947e-005
1.320000000000001e+000	-9.925960e-005
1.330000000000001e+000	-9.923966e-005
1.340000000000001e+000	-9.921964e-005
1.350000000000001e+000	-9.919953e-005
1.360000000000001e+000	-9.917936e-005
1.370000000000001e+000	-9.915910e-005
1.380000000000001e+000	-9.913877e-005
1.390000000000001e+000	-9.911836e-005
1.400000000000001e+000	-9.909787e-005
1.410000000000001e+000	-9.907729e-005
1.420000000000001e+000	-9.905663e-005
1.430000000000001e+000	-9.903590e-005
1.440000000000001e+000	-9.901508e-005
1.450000000000001e+000	-9.899418e-005
1.460000000000001e+000	-9.897320e-005
1.470000000000001e+000	-9.895213e-005
1.480000000000001e+000	-9.893098e-005
1.490000000000001e+000	-9.890973e-005
1.500000000000001e+000	-9.888841e-005
1.510000000000001e+000	-9.886700e-005
1.520000000000001e+000	-9.884550e-005
1.530000000000001e+000	-9.882391e-005
1.540000000000001e+000	-9.880224e-005
1.550000000000001e+000	-9.878047e-005
1.560000000000001e+000	-9.875861e-005
1.570000000000001e+000	-9.873666e-005
