iin	I(Iin)	I(V1)
1.030000000000000e-006	1.030000e-006	1.122918e-006
1.040000000000000e-006	1.040000e-006	1.133648e-006
1.050000000000000e-006	1.050000e-006	1.144377e-006
1.060000000000000e-006	1.060000e-006	1.155105e-006
1.070000000000000e-006	1.070000e-006	1.165831e-006
1.080000000000000e-006	1.080000e-006	1.176556e-006
1.090000000000000e-006	1.090000e-006	1.187280e-006
1.099999999999999e-006	1.100000e-006	1.198002e-006
1.109999999999999e-006	1.110000e-006	1.208724e-006
1.119999999999999e-006	1.120000e-006	1.219443e-006
1.129999999999999e-006	1.130000e-006	1.230162e-006
1.139999999999999e-006	1.140000e-006	1.240880e-006
1.149999999999999e-006	1.150000e-006	1.251596e-006
1.159999999999999e-006	1.160000e-006	1.262311e-006
1.169999999999999e-006	1.170000e-006	1.273025e-006
1.179999999999999e-006	1.180000e-006	1.283738e-006
1.189999999999999e-006	1.190000e-006	1.294449e-006
1.199999999999999e-006	1.200000e-006	1.305159e-006
1.209999999999998e-006	1.210000e-006	1.315869e-006
1.219999999999998e-006	1.220000e-006	1.326577e-006
1.229999999999998e-006	1.230000e-006	1.337284e-006
1.239999999999998e-006	1.240000e-006	1.347989e-006
1.249999999999998e-006	1.250000e-006	1.358694e-006
1.259999999999998e-006	1.260000e-006	1.369398e-006
1.269999999999998e-006	1.270000e-006	1.380100e-006
1.279999999999998e-006	1.280000e-006	1.390802e-006
1.289999999999998e-006	1.290000e-006	1.401502e-006
1.299999999999998e-006	1.300000e-006	1.412202e-006
1.309999999999997e-006	1.310000e-006	1.422900e-006
1.319999999999997e-006	1.320000e-006	1.433597e-006
1.329999999999997e-006	1.330000e-006	1.444293e-006
1.339999999999997e-006	1.340000e-006	1.454988e-006
1.349999999999997e-006	1.350000e-006	1.465683e-006
1.359999999999997e-006	1.360000e-006	1.476376e-006
1.369999999999997e-006	1.370000e-006	1.487068e-006
1.379999999999997e-006	1.380000e-006	1.497759e-006
1.389999999999997e-006	1.390000e-006	1.508449e-006
1.399999999999997e-006	1.400000e-006	1.519139e-006
1.409999999999997e-006	1.410000e-006	1.529827e-006
1.419999999999996e-006	1.420000e-006	1.540514e-006
1.429999999999996e-006	1.430000e-006	1.551201e-006
1.439999999999996e-006	1.440000e-006	1.561886e-006
1.449999999999996e-006	1.450000e-006	1.572571e-006
1.459999999999996e-006	1.460000e-006	1.583254e-006
1.469999999999996e-006	1.470000e-006	1.593937e-006
1.479999999999996e-006	1.480000e-006	1.604619e-006
1.489999999999996e-006	1.490000e-006	1.615299e-006
1.499999999999996e-006	1.500000e-006	1.625979e-006
1.509999999999996e-006	1.510000e-006	1.636658e-006
1.519999999999995e-006	1.520000e-006	1.647336e-006
1.529999999999995e-006	1.530000e-006	1.658014e-006
1.539999999999995e-006	1.540000e-006	1.668690e-006
1.549999999999995e-006	1.550000e-006	1.679366e-006
1.559999999999995e-006	1.560000e-006	1.690040e-006
1.569999999999995e-006	1.570000e-006	1.700714e-006
1.579999999999995e-006	1.580000e-006	1.711387e-006
1.589999999999995e-006	1.590000e-006	1.722059e-006
1.599999999999995e-006	1.600000e-006	1.732731e-006
1.609999999999995e-006	1.610000e-006	1.743401e-006
1.619999999999994e-006	1.620000e-006	1.754071e-006
1.629999999999994e-006	1.630000e-006	1.764740e-006
1.639999999999994e-006	1.640000e-006	1.775408e-006
1.649999999999994e-006	1.650000e-006	1.786075e-006
1.659999999999994e-006	1.660000e-006	1.796741e-006
1.669999999999994e-006	1.670000e-006	1.807407e-006
1.679999999999994e-006	1.680000e-006	1.818072e-006
1.689999999999994e-006	1.690000e-006	1.828736e-006
1.699999999999994e-006	1.700000e-006	1.839399e-006
1.709999999999994e-006	1.710000e-006	1.850061e-006
1.719999999999994e-006	1.720000e-006	1.860723e-006
1.729999999999993e-006	1.730000e-006	1.871384e-006
1.739999999999993e-006	1.740000e-006	1.882044e-006
1.749999999999993e-006	1.750000e-006	1.892703e-006
1.759999999999993e-006	1.760000e-006	1.903362e-006
1.769999999999993e-006	1.770000e-006	1.914020e-006
1.779999999999993e-006	1.780000e-006	1.924677e-006
1.789999999999993e-006	1.790000e-006	1.935334e-006
1.799999999999993e-006	1.800000e-006	1.945989e-006
1.809999999999993e-006	1.810000e-006	1.956644e-006
1.819999999999993e-006	1.820000e-006	1.967298e-006
1.829999999999992e-006	1.830000e-006	1.977952e-006
1.839999999999992e-006	1.840000e-006	1.988605e-006
1.849999999999992e-006	1.850000e-006	1.999257e-006
1.859999999999992e-006	1.860000e-006	2.009908e-006
1.869999999999992e-006	1.870000e-006	2.020559e-006
1.879999999999992e-006	1.880000e-006	2.031209e-006
1.889999999999992e-006	1.890000e-006	2.041858e-006
1.899999999999992e-006	1.900000e-006	2.052506e-006
1.909999999999992e-006	1.910000e-006	2.063154e-006
1.919999999999992e-006	1.920000e-006	2.073801e-006
1.929999999999992e-006	1.930000e-006	2.084448e-006
1.939999999999992e-006	1.940000e-006	2.095094e-006
1.949999999999992e-006	1.950000e-006	2.105739e-006
1.959999999999991e-006	1.960000e-006	2.116383e-006
1.969999999999991e-006	1.970000e-006	2.127027e-006
1.979999999999991e-006	1.980000e-006	2.137670e-006
1.989999999999991e-006	1.990000e-006	2.148313e-006
1.999999999999991e-006	2.000000e-006	2.158955e-006
