vout	Ix(U1:DRAIN)
0.000000000000000e+000	-1.137302e-007
1.000000000000000e-002	-1.137083e-007
2.000000000000000e-002	-1.136863e-007
3.000000000000000e-002	-1.136644e-007
4.000000000000000e-002	-1.136424e-007
5.000000000000000e-002	-1.136204e-007
6.000000000000001e-002	-1.135983e-007
7.000000000000001e-002	-1.135763e-007
8.000000000000000e-002	-1.135542e-007
9.000000000000000e-002	-1.135321e-007
9.999999999999999e-002	-1.135099e-007
1.100000000000000e-001	-1.134878e-007
1.200000000000000e-001	-1.134656e-007
1.300000000000000e-001	-1.134434e-007
1.400000000000000e-001	-1.134211e-007
1.500000000000000e-001	-1.133989e-007
1.600000000000000e-001	-1.133766e-007
1.700000000000000e-001	-1.133543e-007
1.800000000000000e-001	-1.133320e-007
1.900000000000000e-001	-1.133096e-007
2.000000000000000e-001	-1.132872e-007
2.100000000000001e-001	-1.132648e-007
2.200000000000001e-001	-1.132424e-007
2.300000000000001e-001	-1.132199e-007
2.400000000000001e-001	-1.131974e-007
2.500000000000001e-001	-1.131749e-007
2.600000000000001e-001	-1.131523e-007
2.700000000000001e-001	-1.131298e-007
2.800000000000001e-001	-1.131072e-007
2.900000000000001e-001	-1.130846e-007
3.000000000000001e-001	-1.130619e-007
3.100000000000001e-001	-1.130393e-007
3.200000000000001e-001	-1.130166e-007
3.300000000000001e-001	-1.129938e-007
3.400000000000001e-001	-1.129711e-007
3.500000000000001e-001	-1.129483e-007
3.600000000000002e-001	-1.129255e-007
3.700000000000002e-001	-1.129027e-007
3.800000000000002e-001	-1.128798e-007
3.900000000000002e-001	-1.128570e-007
4.000000000000002e-001	-1.128340e-007
4.100000000000002e-001	-1.128111e-007
4.200000000000002e-001	-1.127881e-007
4.300000000000002e-001	-1.127652e-007
4.400000000000002e-001	-1.127421e-007
4.500000000000002e-001	-1.127191e-007
4.600000000000002e-001	-1.126960e-007
4.700000000000003e-001	-1.126729e-007
4.800000000000003e-001	-1.126498e-007
4.900000000000003e-001	-1.126266e-007
